setting,returncode,diagnostic_matrix,performance/daily_rank_ic_mean,performance/rank_icir,performance/daily_ic_mean,performance/icir,portfolio/annualized_return_with_cost,portfolio/information_ratio_with_cost,portfolio/max_drawdown_with_cost,portfolio/turnover,optimization/post_peak_decay,optimization/train_grad_norm_last,optimization/train_grad_nonfinite_rate_last,optimization/train_grad_skipped_rate_last,optimization/train_optimizer_steps_last,regime/pc1_tail_2x2_rank_ic_spread,router/time_ratio_mean,time_embedding/tau_range_utilization,factor_film/film_pool_top10_overlap,attention_pooling/factor_entropy_norm_mean
tau_scale_02,0,C:\Users\60585\PycharmProjects\qibMacV2\mlruns\787325764645886771\54485e1894e74259a02574e1ddd18bbb\diagnostic_matrix.csv,0.08029259257610506,0.5673359656018875,0.06887654903394626,0.47573573368364513,0.18734867581324066,1.727803533188905,-0.07217284477983543,0.3273591321083692,0.009739342618023478,8.122098020805465,0.0003356831151393085,0.0003356831151393085,2978.0,0.05496594665225385,0.7555532906839774,0.0053876819032611266,0.034670812649865414,0.9982401672587339
tau_scale_05,0,C:\Users\60585\PycharmProjects\qibMacV2\mlruns\867178867749867261\1bf2f8f710a04712b72c699ad7e399c1\diagnostic_matrix.csv,0.08130924080698723,0.5931556219729567,0.06511819509085877,0.45645251038440887,0.18337550411435946,1.8589927802422697,-0.07876621828351621,0.32633811134355506,0.009716813024967602,8.48313696207292,0.0003356831151393085,0.0003356831151393085,2978.0,0.043401074007410695,0.7185933214969084,0.017686208089192707,0.052834824457247215,0.9995583699462799
tau_scale_08,0,C:\Users\60585\PycharmProjects\qibMacV2\mlruns\421120882648075751\d81b8836fa4e4987ba5d080f5ebb2b5f\diagnostic_matrix.csv,0.08032998105465738,0.5823020224737012,0.0642224077573666,0.4482962018222438,0.1506163663810217,1.4748824475167175,-0.06781161596898916,0.3282489825596736,0.008710820566631847,8.600957764544123,0.0003356831151393085,0.0003356831151393085,2978.0,0.04371062071157111,0.7380446649729328,0.02230754043116714,0.03310818685299945,0.9999561208227878
tau_scale_15,0,C:\Users\60585\PycharmProjects\qibMacV2\mlruns\690786402904200180\204e809c31654f14b750bac3185bec6f\diagnostic_matrix.csv,0.07969267205334712,0.5782042366376546,0.06333943877244962,0.44506996064356663,0.18675154380026773,1.8364103716945184,-0.06801748829540741,0.3280930487901835,0.008913228509167315,8.265476472588599,0.0003356831151393085,0.0003356831151393085,2978.0,0.04190680653325568,0.7289239421621803,0.030197124288539694,0.05388919572767803,0.999934664907121
