source,csv_path,setting,canonical_setting,seed,returncode,selectable,selected_for_stage2,reasons,rankic,rankicir,post_peak_decay,drawdown,turnover,grad_nonfinite_rate,grad_skipped_rate,d_model,n_heads,d_head,n_layers,d_ff,dropout,params_plan,epochs_recorded,best_valid_rank_ic,best_valid_rank_ic_epoch,final_valid_rank_ic,best_minus_final_valid_rank_ic,checkpoint_metric,checkpoint_epoch,checkpoint_score,checkpoint_restored,performance/daily_rank_ic_mean,performance/rank_icir,performance/daily_ic_mean,performance/icir,performance/rolling20_rank_ic_min,performance/rolling60_rank_ic_min,performance/top_bottom_spread_mean,portfolio/annualized_return_with_cost,portfolio/information_ratio_with_cost,portfolio/max_drawdown_with_cost,portfolio/turnover,portfolio/cost_drag,optimization/post_peak_decay,optimization/loss_gap_last,optimization/rank_ic_gap_last,optimization/train_grad_norm_last,optimization/train_grad_nonfinite_rate_last,optimization/train_grad_skipped_rate_last,optimization/train_score_std_last,optimization/valid_score_std_last,attention_pooling/factor_entropy_norm_mean,attention_pooling/factor_top10_mass_mean,router/entropy_norm_mean,router/time_ratio_mean,router/collapse_ratio,regime/pc1_tail_2x2_rank_ic_spread,diagnostic_matrix,time_embedding/tau_range_utilization,factor_film/film_pool_top10_overlap,optimization/train_optimizer_steps_last
suite_csv,diagnostic_runs\four_day_plan_20260501_125906\capacity_full135_40epoch\stage1_seed42\suite_summary.csv,cap01_d64_h4_l2_ff256_do015,cap01_d64_h4_l2_ff256_do015,42,0,,,,,,,,,,,64,4,16,2,256,0.15,236871,40,0.07483852497568617,29,0.07396894738099229,0.0008695775946938877,valid_rank_ic,29,0.07483852497568617,True,0.07484501407020838,0.5282357054247737,0.06756322259299026,0.4701952978700156,-0.023193431735403468,0.020256440604688557,0.009493095853534389,0.21455575761522297,1.8394106220565603,-0.07099595447133833,0.3275570985180413,0.1558050216004823,0.0008695775946938877,-1.2663850904211904,0.10682988671243017,6.67934515041219,0.0003356831151393085,0.0003356831151393085,0.21252343061587362,0.23656607220488954,0.9956995435329352,0.09458753247588103,0.872347355719468,0.6891237037687827,0.0,0.05582659467942373,C:\Users\60585\PycharmProjects\qibMacV2\mlruns\661312772085780666\ce93762ac6fe4327b7183b2bb1e66213\diagnostic_matrix.csv,,,
suite_csv,diagnostic_runs\four_day_plan_20260501_125906\capacity_full135_40epoch\stage1_seed42\suite_summary.csv,cap02_d80_h4_l2_ff320_do015,cap02_d80_h4_l2_ff320_do015,42,0,,,,,,,,,,,80,4,20,2,320,0.15,355607,40,0.07514629785070204,17,0.06658429699150396,0.008562000859198074,valid_rank_ic,17,0.07514629785070204,True,0.07514381148857541,0.5259630028523012,0.0655355134046965,0.4577584119015414,-0.038929377167866396,0.020115423227706118,0.010196507866486737,0.2319674121188528,2.2652017407911673,-0.0521194886452912,0.32555145873984925,0.15484965108827037,0.008562000859198074,-1.2481210130081601,0.12889686500324365,6.11328824840226,0.0003356831151393085,0.0003356831151393085,0.23297752234390734,0.2679211605590221,0.9931144215005976,0.11219892471342979,0.8323769797900521,0.7143435475817159,0.0,0.05326530537453683,C:\Users\60585\PycharmProjects\qibMacV2\mlruns\516942619567852638\772d906887fb40f3aaea025e299445af\diagnostic_matrix.csv,,,
suite_csv,diagnostic_runs\four_day_plan_20260501_125906\capacity_full135_40epoch\stage1_seed42\suite_summary.csv,cap03_d96_h4_l2_ff288_do015,cap03_d96_h4_l2_ff288_do015,42,0,,,,,,,,,,,96,4,24,2,288,0.15,461095,40,0.07534433094527214,23,0.07013247968304775,0.0052118512622243846,valid_rank_ic,23,0.07534433094527214,True,0.07535067511486078,0.5103694274221902,0.06317066661255749,0.43625162191208394,-0.03974016268956634,0.009410718981105303,0.010493955174621055,0.1696329987746897,1.6120651057537745,-0.10263697133044505,0.3257017716333332,0.15491927999164543,0.0052118512622243846,-1.2467236596228883,0.12459592634802286,6.319171905876862,0.0003356831151393085,0.0003356831151393085,0.2300671759608929,0.2673577591167144,0.9962596288493746,0.09062973390125081,0.9377760248086544,0.6137851050377413,0.0,0.04468953263357148,C:\Users\60585\PycharmProjects\qibMacV2\mlruns\615207836098066466\c7ab2c63668c4e698c2043b1fbfe5826\diagnostic_matrix.csv,,,
suite_csv,diagnostic_runs\four_day_plan_20260501_125906\capacity_full135_40epoch\stage1_seed42\suite_summary.csv,cap04_d96_h4_l2_ff288_do020,cap04_d96_h4_l2_ff288_do020,42,0,,,,,,,,,,,96,4,24,2,288,0.2,461095,40,0.07452531286360659,19,0.06552001878591801,0.009005294077688575,valid_rank_ic,19,0.07452531286360659,True,0.07452812100962426,0.4799630774457582,0.06410486516125767,0.4175480611362524,-0.03268338612883518,0.01428418024778902,0.009678846923729676,0.16728508860685465,1.4428284056802776,-0.08506855471698746,0.3268321296986509,0.15545766377902265,0.009005294077688575,-1.2357627010615742,0.1276062332992032,6.4528118649399,0.0003356831151393085,0.0003356831151393085,0.22876189642602382,0.2881183031147709,0.9977208872297059,0.0846097245221129,0.9056579175577338,0.6389691909648523,0.0,0.050622105101067946,C:\Users\60585\PycharmProjects\qibMacV2\mlruns\338376328896534105\233da76fa5824223ae0e44cba8248454\diagnostic_matrix.csv,,,
suite_csv,diagnostic_runs\four_day_plan_20260501_125906\capacity_full135_40epoch\stage1_seed42\suite_summary.csv,cap05_d96_h4_l2_ff384_do015,cap05_d96_h4_l2_ff384_do015,42,0,,,,,,,,,,,96,4,24,2,384,0.15,498151,40,0.07728903727392072,17,0.07223253106912673,0.00505650620479399,valid_rank_ic,17,0.07728903727392072,True,0.07728730575102148,0.54349500716962,0.0640317525750809,0.45024128165989696,-0.015118141509261685,0.02884992103373186,0.010267192281214078,0.18345836549176997,1.754429119796694,-0.07781892499898352,0.3263962041481793,0.15525055919799963,0.00505650620479399,-1.2337316502730318,0.12879776033856621,5.365182892150548,0.0003356831151393085,0.0003356831151393085,0.23798322469526267,0.2861346105897095,0.9925797469524509,0.12255433215911815,0.9153385449862758,0.6327864537964867,0.0,0.032371223172250704,C:\Users\60585\PycharmProjects\qibMacV2\mlruns\570523982808623313\e07135da68324a5ab0f1501a10f8fdac\diagnostic_matrix.csv,,,
suite_csv,diagnostic_runs\four_day_plan_20260501_125906\capacity_full135_40epoch\stage1_seed42\suite_summary.csv,cap06_d96_h4_l2_ff384_do020,cap06_d96_h4_l2_ff384_do020,42,0,,,,,,,,,,,96,4,24,2,384,0.2,498151,40,0.0793652319728164,17,0.07437549692636283,0.004989735046453572,valid_rank_ic,17,0.0793652319728164,True,0.07937359407172331,0.5416028541522023,0.06893208990422399,0.47120311369770834,-0.025902780052640094,0.026722276671379306,0.011296806049513374,0.2202313447273886,2.086088748683269,-0.08060974912000239,0.3244564287274963,0.15432693340606113,0.004989735046453572,-1.2388210674003994,0.12001252488413269,5.452127787676689,0.0003356831151393085,0.0003356831151393085,0.23074071396913814,0.2806140756060761,0.9997330965583644,0.07050916985813782,0.8359566755214279,0.7037789304309767,0.0,0.038595097334874526,C:\Users\60585\PycharmProjects\qibMacV2\mlruns\731153307123711936\da4dbec2f9194c33966932dc41b367ff\diagnostic_matrix.csv,,,
suite_csv,diagnostic_runs\four_day_plan_20260501_125906\capacity_full135_40epoch\stage1_seed42\suite_summary.csv,cap07_d96_h6_l2_ff384_do015,cap07_d96_h6_l2_ff384_do015,42,0,,,,,,,,,,,96,6,16,2,384,0.15,498151,40,0.07749089538802886,19,0.07178826054892058,0.005702634839108281,valid_rank_ic,19,0.07749089538802886,True,0.07749194350080746,0.5304114108327845,0.0651842967157866,0.4473392244780621,-0.02173880563487298,0.02318579724465312,0.010130307773385751,0.16684033086338615,1.5848944202010637,-0.0866443641043598,0.3265088942066348,0.15530375649332614,0.005702634839108281,-1.2337942582277874,0.12767065727768523,5.675798931141791,0.0003356831151393085,0.0003356831151393085,0.23835343088468236,0.28814327658295824,0.9927476940749193,0.1193406671510884,0.8788505432964313,0.6783282390371802,0.0,0.030455715818120246,C:\Users\60585\PycharmProjects\qibMacV2\mlruns\950435068917322288\993114e05e8e48cdbf40b1dcb19a5547\diagnostic_matrix.csv,,,
suite_csv,diagnostic_runs\four_day_plan_20260501_125906\capacity_full135_40epoch\stage1_seed42\suite_summary.csv,cap08_d96_h4_l3_ff384_do020,cap08_d96_h4_l3_ff384_do020,42,1,,,,,,,,,,,96,4,24,3,384,0.2,674265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
suite_csv,diagnostic_runs\four_day_plan_20260501_125906\capacity_full135_40epoch\stage2_seed43_44\suite_summary.csv,cap00_d64_h4_l2_ff128_do010_seed43,cap00_d64_h4_l2_ff128_do010,43,0,,,,,,,,,,,64,4,16,2,128,0.1,203847,40,0.07963506863847285,25,0.07377636740855138,0.005858701229921465,valid_rank_ic,25,0.07963506863847285,True,0.0796389624873134,0.5832960782357897,0.06259467741635318,0.45917743589839,-0.03140892579531446,0.014757485807101811,0.009716802667357704,0.19091099613944706,1.9394690279421478,-0.11113703907870537,0.3265057016563448,0.15530315393509753,0.005858701229921465,-1.2498247825736657,0.12109066849863283,8.314946525126166,0.0003356831151393085,0.0003356831151393085,0.23191359700193018,0.2539859653104542,0.9954595877266834,0.11097112849364565,0.8188035578513401,0.7246025026345344,0.0,0.055961544969900495,C:\Users\60585\PycharmProjects\qibMacV2\mlruns\730804180011220503\440cd8270fd846d3b0aa3de5e2498edb\diagnostic_matrix.csv,,,
suite_csv,diagnostic_runs\four_day_plan_20260501_125906\capacity_full135_40epoch\stage2_seed43_44\suite_summary.csv,cap01_d64_h4_l2_ff256_do015_seed43,cap01_d64_h4_l2_ff256_do015,43,0,,,,,,,,,,,64,4,16,2,256,0.15,236871,40,0.07406322167523047,25,0.06742955578271605,0.00663366589251442,valid_rank_ic,25,0.07406322167523047,True,0.07406691170862302,0.5337035273245512,0.05895280407455394,0.42367625253744523,-0.04526032790887184,0.005967870823219951,0.008973499622848342,0.15785363438698605,1.6211861976060489,-0.09791805131904552,0.32773455614698427,0.15588742133297348,0.00663366589251442,-1.2608691831225252,0.12018895700178418,7.189820199827422,0.0,0.0,0.22408693946820452,0.25098295570785595,0.9999979734451644,0.06370814250586873,0.8646160564287481,0.6985801769616626,0.0,0.056265914798125594,C:\Users\60585\PycharmProjects\qibMacV2\mlruns\990482449780324458\a321b76871fa40a1a3023797f55d809c\diagnostic_matrix.csv,,,
