canonical_setting,n_runs,seeds,d_model,n_heads,n_layers,d_ff,dropout,use_regime_time_embedding,use_regime_factor_gate,router_use_layer_summary,router_mode,main_loss,rank_ic_mean,rank_ic_std,rank_ic_min,rank_ic_max,rank_icir_mean,rank_icir_std,rank_icir_min,rank_icir_max,ann_cost_mean,ann_cost_std,ann_cost_min,ann_cost_max,ir_cost_mean,ir_cost_std,ir_cost_min,ir_cost_max,mdd_cost_mean,mdd_cost_std,mdd_cost_min,mdd_cost_max,post_peak_decay_mean,post_peak_decay_std,post_peak_decay_min,post_peak_decay_max,rank_ic_gap_last_mean,rank_ic_gap_last_std,rank_ic_gap_last_min,rank_ic_gap_last_max,time_ratio_mean,time_ratio_std,time_ratio_min,time_ratio_max,router_entropy_norm_mean,router_entropy_norm_std,router_entropy_norm_min,router_entropy_norm_max,grad_nonfinite_rate_mean,grad_nonfinite_rate_std,grad_nonfinite_rate_min,grad_nonfinite_rate_max,grad_skipped_rate_mean,grad_skipped_rate_std,grad_skipped_rate_min,grad_skipped_rate_max
base,1,42,,,,,,False,False,True,learned,,0.0712363734733636,0.0,0.0712363734733636,0.0712363734733636,0.5390729212553699,0.0,0.5390729212553699,0.5390729212553699,0.13819982385911228,0.0,0.13819982385911228,0.13819982385911228,1.369382467760407,0.0,1.369382467760407,1.369382467760407,-0.06317351126694892,0.0,-0.06317351126694892,-0.06317351126694892,0.003620760868634443,0.0,0.003620760868634443,0.003620760868634443,0.10637678638931677,0.0,0.10637678638931677,0.10637678638931677,0.6881881516576789,0.0,0.6881881516576789,0.6881881516576789,0.8400815236046683,0.0,0.8400815236046683,0.8400815236046683,0.0003356831151393085,0.0,0.0003356831151393085,0.0003356831151393085,0.0003356831151393085,0.0,0.0003356831151393085,0.0003356831151393085
cap00_d64_h4_l2_ff128_do010,3,"42,43,44",64,4,2,128,0.1,True,True,True,learned,mse,0.07625916357311115,0.002985939301273157,0.07237689787356799,0.0796389624873134,0.5597860545750672,0.01815771547814436,0.5390860420358146,0.5832960782357897,0.18230816132056638,0.01645330322093459,0.15928349085164634,0.1967299969706057,1.7963475408850267,0.160673922465941,1.571942615269592,1.9394690279421478,-0.08675964765830775,0.01737603979527076,-0.11113703907870537,-0.07188818675100475,0.007050120961509083,0.002364470241741734,0.004940009592721589,0.010351652061884195,0.1220949690110396,0.0028508108086674026,0.1192156670997849,0.12597857143470106,0.6986500375889544,0.051221772507074104,0.627104554288191,0.7442430558441379,0.8506277961277516,0.05841147859136786,0.8005227611282686,0.9325570694036464,0.0004475774868524113,0.00015824253802988644,0.0003356831151393085,0.000671366230278617,0.0004475774868524113,0.00015824253802988644,0.0003356831151393085,0.000671366230278617
cap01_d64_h4_l2_ff256_do015,3,"42,43,44",64,4,2,256,0.15,True,True,True,learned,mse,0.07567685059383693,0.0017555742045832204,0.07406691170862302,0.0781186260026794,0.5372935319391309,0.009217736283256719,0.5282357054247737,0.5499413630680678,0.20189760495646014,0.03206851902921601,0.15785363438698605,0.23328342286717138,1.904754796244319,0.2623109695730755,1.6211861976060489,2.2536675690703483,-0.08077415926885996,0.012162506216438922,-0.09791805131904552,-0.07099595447133833,0.0032946148134266697,0.002440320262992632,0.0008695775946938877,0.00663366589251442,0.11226384467338524,0.005731234730887774,0.10682988671243017,0.12018895700178418,0.6882488587735501,0.008814374293570505,0.6770426955902049,0.6985801769616626,0.8759042173996704,0.010961273354100543,0.8646160564287481,0.8907492400507948,0.00022378874342620565,0.00015824253802988644,0.0,0.0003356831151393085,0.00022378874342620565,0.00015824253802988644,0.0,0.0003356831151393085
cap02_d80_h4_l2_ff320_do015,3,"42,43,44",80,4,2,320,0.15,True,True,True,learned,mse,0.07707667050071569,0.0015766563807584635,0.07514381148857541,0.07900580974698307,0.5416376202377737,0.01166848751845704,0.5259630028523012,0.5539426105235584,0.21324730086318486,0.013478386414514714,0.2007778358959388,0.2319674121188528,2.0292872101650477,0.1700823826839928,1.8707063552913705,2.2652017407911673,-0.06625107624213467,0.01051108841272901,-0.07731038270797891,-0.0521194886452912,0.0057198195515173285,0.002048073515750184,0.0038156018444304995,0.008562000859198074,0.12056896711479925,0.005891854359652994,0.1161694141324633,0.12889686500324365,0.6573339465956923,0.04139539522792088,0.6173053808467217,0.7143435475817159,0.8898722283620222,0.04138870855580032,0.8323769797900521,0.9281203835600664,0.00022378874342620565,0.00015824253802988644,0.0,0.0003356831151393085,0.00022378874342620565,0.00015824253802988644,0.0,0.0003356831151393085
cap03_d96_h4_l2_ff288_do015,1,42,96,4,2,288,0.15,True,True,True,learned,mse,0.07535067511486078,0.0,0.07535067511486078,0.07535067511486078,0.5103694274221902,0.0,0.5103694274221902,0.5103694274221902,0.1696329987746897,0.0,0.1696329987746897,0.1696329987746897,1.6120651057537745,0.0,1.6120651057537745,1.6120651057537745,-0.10263697133044505,0.0,-0.10263697133044505,-0.10263697133044505,0.0052118512622243846,0.0,0.0052118512622243846,0.0052118512622243846,0.12459592634802286,0.0,0.12459592634802286,0.12459592634802286,0.6137851050377413,0.0,0.6137851050377413,0.6137851050377413,0.9377760248086544,0.0,0.9377760248086544,0.9377760248086544,0.0003356831151393085,0.0,0.0003356831151393085,0.0003356831151393085,0.0003356831151393085,0.0,0.0003356831151393085,0.0003356831151393085
cap04_d96_h4_l2_ff288_do020,1,42,96,4,2,288,0.2,True,True,True,learned,mse,0.07452812100962426,0.0,0.07452812100962426,0.07452812100962426,0.4799630774457582,0.0,0.4799630774457582,0.4799630774457582,0.16728508860685465,0.0,0.16728508860685465,0.16728508860685465,1.4428284056802776,0.0,1.4428284056802776,1.4428284056802776,-0.08506855471698746,0.0,-0.08506855471698746,-0.08506855471698746,0.009005294077688575,0.0,0.009005294077688575,0.009005294077688575,0.1276062332992032,0.0,0.1276062332992032,0.1276062332992032,0.6389691909648523,0.0,0.6389691909648523,0.6389691909648523,0.9056579175577338,0.0,0.9056579175577338,0.9056579175577338,0.0003356831151393085,0.0,0.0003356831151393085,0.0003356831151393085,0.0003356831151393085,0.0,0.0003356831151393085,0.0003356831151393085
cap05_d96_h4_l2_ff384_do015,1,42,96,4,2,384,0.15,True,True,True,learned,mse,0.07728730575102148,0.0,0.07728730575102148,0.07728730575102148,0.54349500716962,0.0,0.54349500716962,0.54349500716962,0.18345836549176997,0.0,0.18345836549176997,0.18345836549176997,1.754429119796694,0.0,1.754429119796694,1.754429119796694,-0.07781892499898352,0.0,-0.07781892499898352,-0.07781892499898352,0.00505650620479399,0.0,0.00505650620479399,0.00505650620479399,0.12879776033856621,0.0,0.12879776033856621,0.12879776033856621,0.6327864537964867,0.0,0.6327864537964867,0.6327864537964867,0.9153385449862758,0.0,0.9153385449862758,0.9153385449862758,0.0003356831151393085,0.0,0.0003356831151393085,0.0003356831151393085,0.0003356831151393085,0.0,0.0003356831151393085,0.0003356831151393085
cap06_d96_h4_l2_ff384_do020,1,42,96,4,2,384,0.2,True,True,True,learned,mse,0.07937359407172331,0.0,0.07937359407172331,0.07937359407172331,0.5416028541522023,0.0,0.5416028541522023,0.5416028541522023,0.2202313447273886,0.0,0.2202313447273886,0.2202313447273886,2.086088748683269,0.0,2.086088748683269,2.086088748683269,-0.08060974912000239,0.0,-0.08060974912000239,-0.08060974912000239,0.004989735046453572,0.0,0.004989735046453572,0.004989735046453572,0.12001252488413269,0.0,0.12001252488413269,0.12001252488413269,0.7037789304309767,0.0,0.7037789304309767,0.7037789304309767,0.8359566755214279,0.0,0.8359566755214279,0.8359566755214279,0.0003356831151393085,0.0,0.0003356831151393085,0.0003356831151393085,0.0003356831151393085,0.0,0.0003356831151393085,0.0003356831151393085
cap07_d96_h6_l2_ff384_do015,1,42,96,6,2,384,0.15,True,True,True,learned,mse,0.07749194350080746,0.0,0.07749194350080746,0.07749194350080746,0.5304114108327845,0.0,0.5304114108327845,0.5304114108327845,0.16684033086338615,0.0,0.16684033086338615,0.16684033086338615,1.5848944202010637,0.0,1.5848944202010637,1.5848944202010637,-0.0866443641043598,0.0,-0.0866443641043598,-0.0866443641043598,0.005702634839108281,0.0,0.005702634839108281,0.005702634839108281,0.12767065727768523,0.0,0.12767065727768523,0.12767065727768523,0.6783282390371802,0.0,0.6783282390371802,0.6783282390371802,0.8788505432964313,0.0,0.8788505432964313,0.8788505432964313,0.0003356831151393085,0.0,0.0003356831151393085,0.0003356831151393085,0.0003356831151393085,0.0,0.0003356831151393085,0.0003356831151393085
cap09_d128_h8_l2_ff384_do020,1,42,128,8,2,384,0.2,True,True,True,learned,mse,0.07570250523851765,0.0,0.07570250523851765,0.07570250523851765,0.4942985973553227,0.0,0.4942985973553227,0.4942985973553227,0.21222303395051278,0.0,0.21222303395051278,0.21222303395051278,1.8683880508448147,0.0,1.8683880508448147,1.8683880508448147,-0.08778060224008205,0.0,-0.08778060224008205,-0.08778060224008205,0.01371052098123473,0.0,0.01371052098123473,0.01371052098123473,0.14290228131144794,0.0,0.14290228131144794,0.14290228131144794,0.5745346603143819,0.0,0.5745346603143819,0.5745346603143819,0.9475926176113992,0.0,0.9475926176113992,0.9475926176113992,0.0003356831151393085,0.0,0.0003356831151393085,0.0003356831151393085,0.0003356831151393085,0.0,0.0003356831151393085,0.0003356831151393085
cap10_d128_h8_l2_ff512_do025,1,42,128,8,2,512,0.25,True,True,True,learned,mse,0.07666379496896569,0.0,0.07666379496896569,0.07666379496896569,0.5209986527183136,0.0,0.5209986527183136,0.5209986527183136,0.16639435673207653,0.0,0.16639435673207653,0.16639435673207653,1.519312117689967,0.0,1.519312117689967,1.519312117689967,-0.07892556238784681,0.0,-0.07892556238784681,-0.07892556238784681,0.007854719223053197,0.0,0.007854719223053197,0.007854719223053197,0.1314165053932911,0.0,0.1314165053932911,0.1314165053932911,0.48736129483952917,0.0,0.48736129483952917,0.48736129483952917,0.9363451030464531,0.0,0.9363451030464531,0.9363451030464531,0.0003356831151393085,0.0,0.0003356831151393085,0.0003356831151393085,0.0003356831151393085,0.0,0.0003356831151393085,0.0003356831151393085
cap11_d128_h4_l2_ff512_do020,1,42,128,4,2,512,0.2,True,True,True,learned,mse,0.07756069819022336,0.0,0.07756069819022336,0.07756069819022336,0.5270949386817093,0.0,0.5270949386817093,0.5270949386817093,0.15171129445394826,0.0,0.15171129445394826,0.15171129445394826,1.3750037136175788,0.0,1.3750037136175788,1.3750037136175788,-0.0968018748027635,0.0,-0.0968018748027635,-0.0968018748027635,0.006845412995907754,0.0,0.006845412995907754,0.006845412995907754,0.1336643340824012,0.0,0.1336643340824012,0.1336643340824012,0.5700919999051342,0.0,0.5700919999051342,0.5700919999051342,0.9479842118334912,0.0,0.9479842118334912,0.9479842118334912,0.0003356831151393085,0.0,0.0003356831151393085,0.0003356831151393085,0.0003356831151393085,0.0,0.0003356831151393085,0.0003356831151393085
film_only,1,42,,,,,,False,True,True,learned,,0.07678603656652373,0.0,0.07678603656652373,0.07678603656652373,0.5844371736808308,0.0,0.5844371736808308,0.5844371736808308,0.17978762461217418,0.0,0.17978762461217418,0.17978762461217418,1.5752258414392195,0.0,1.5752258414392195,1.5752258414392195,-0.07484343672085791,0.0,-0.07484343672085791,-0.07484343672085791,0.01922682269571109,0.0,0.01922682269571109,0.01922682269571109,0.14325004073849346,0.0,0.14325004073849346,0.14325004073849346,0.7349453340770765,0.0,0.7349453340770765,0.7349453340770765,0.807584101298859,0.0,0.807584101298859,0.807584101298859,0.0003356831151393085,0.0,0.0003356831151393085,0.0003356831151393085,0.0003356831151393085,0.0,0.0003356831151393085,0.0003356831151393085
fixed_router_05,1,42,,,,,,True,True,True,fixed_05,,0.07707132031873405,0.0,0.07707132031873405,0.07707132031873405,0.5760899141994799,0.0,0.5760899141994799,0.5760899141994799,0.1549206254377406,0.0,0.1549206254377406,0.1549206254377406,1.5348429773576733,0.0,1.5348429773576733,1.5348429773576733,-0.0835654354649816,0.0,-0.0835654354649816,-0.0835654354649816,0.007323096518908487,0.0,0.007323096518908487,0.007323096518908487,0.11075105661540022,0.0,0.11075105661540022,0.11075105661540022,0.5,0.0,0.5,0.5,1.0000000027478353,0.0,1.0000000027478353,1.0000000027478353,0.000671366230278617,0.0,0.000671366230278617,0.000671366230278617,0.000671366230278617,0.0,0.000671366230278617,0.000671366230278617
full_135,1,42,,,,,,True,True,True,learned,,0.07913506646550444,0.0,0.07913506646550444,0.07913506646550444,0.5496115387284783,0.0,0.5496115387284783,0.5496115387284783,0.17787491766501612,0.0,0.17787491766501612,0.17787491766501612,1.564012034553269,0.0,1.564012034553269,1.564012034553269,-0.09847608697301419,0.0,-0.09847608697301419,-0.09847608697301419,0.009060859694532714,0.0,0.009060859694532714,0.009060859694532714,0.1208131819940776,0.0,0.1208131819940776,0.1208131819940776,0.6708117364445346,0.0,0.6708117364445346,0.6708117364445346,0.8970167185085561,0.0,0.8970167185085561,0.8970167185085561,0.0003356831151393085,0.0,0.0003356831151393085,0.0003356831151393085,0.0003356831151393085,0.0,0.0003356831151393085,0.0003356831151393085
no_layer_summary,1,42,,,,,,True,True,False,learned,,0.06907886055539827,0.0,0.06907886055539827,0.06907886055539827,0.514995064872803,0.0,0.514995064872803,0.514995064872803,0.19304672562095002,0.0,0.19304672562095002,0.19304672562095002,1.8431914681712018,0.0,1.8431914681712018,1.8431914681712018,-0.07280791062389333,0.0,-0.07280791062389333,-0.07280791062389333,0.005027097688311111,0.0,0.005027097688311111,0.005027097688311111,0.11298539066627955,0.0,0.11298539066627955,0.11298539066627955,0.6478259435925273,0.0,0.6478259435925273,0.6478259435925273,0.8938872447871897,0.0,0.8938872447871897,0.8938872447871897,0.0003356831151393085,0.0,0.0003356831151393085,0.0003356831151393085,0.0003356831151393085,0.0,0.0003356831151393085,0.0003356831151393085
time_only,1,42,,,,,,True,False,True,learned,,0.07197022857139895,0.0,0.07197022857139895,0.07197022857139895,0.548346806296843,0.0,0.548346806296843,0.548346806296843,0.16087228342945784,0.0,0.16087228342945784,0.16087228342945784,1.575365601003654,0.0,1.575365601003654,1.575365601003654,-0.08591055525598756,0.0,-0.08591055525598756,-0.08591055525598756,0.005969971641416744,0.0,0.005969971641416744,0.005969971641416744,0.09978376568303514,0.0,0.09978376568303514,0.09978376568303514,0.542890707599746,0.0,0.542890707599746,0.542890707599746,0.8975934355175086,0.0,0.8975934355175086,0.8975934355175086,0.000671366230278617,0.0,0.000671366230278617,0.000671366230278617,0.000671366230278617,0.0,0.000671366230278617,0.000671366230278617
