scale,seed,daily_rank_ic_mean,rank_icir,information_ratio_with_cost,annualized_return_with_cost,max_drawdown_with_cost,turnover,post_peak_decay,rank_ic_gap_last,tau_range_utilization,tau_std,time_ratio_mean,pool_entropy_norm_mean
0.01,42,0.0802135033071112,0.5953152891575569,1.8242361843702384,0.1778994192736891,-0.0587419041243442,0.3266650266597314,0.0031979505137927,0.0919626842236848,7.800863246725063e-05,0.0025527428819198,0.7372165906773976,0.9999999872122612
0.01,43,0.0779364675829761,0.5762482386935072,1.3763591601474203,0.1457641366627919,-0.1036087841675715,0.3279083531531934,0.0036398791905474,0.0951283268639549,0.0001559979987866,0.0037304208701599,0.8016456910345116,0.9999437992941064
0.01,44,0.0734636840618917,0.5360507856832254,1.1040441034307875,0.11325407489112,-0.0941133669990975,0.3278341466305137,0.0033480528274233,0.0992417161135236,0.0003120056306472,0.0062313945940584,0.7231553270721851,0.999962241584669
0.5,42,0.081065023782954,0.6091870389205332,2.246249996698713,0.2279512045209418,-0.060028636231084,0.3271139784268349,0.0047523540270034,0.0928194562272326,0.0114953590161872,0.2144502591215471,0.753756690350505,0.9999479046523484
0.5,43,0.0788108206496869,0.5871777320264925,1.7738018994155855,0.1785811737620976,-0.0805961407988024,0.3277848142508188,0.0041256094577149,0.0949568266872728,0.0154918998178809,0.2874095095706818,0.8046045040082749,0.9998644923167402
0.5,44,0.0723471407212279,0.5243172941797324,1.7208186410225352,0.1774198631627256,-0.0825658240235667,0.3266895215057256,0.0032056819943088,0.0990270126772536,0.00897633908975,0.1944729484140688,0.7171319360727829,0.9999548163827792
0.8,42,0.0798141720807818,0.5953495127357474,1.7707827858144969,0.1765436712886418,-0.0557731104480936,0.325809100261233,0.004142189422575,0.0936649180796668,0.0115643607245551,0.223798475788054,0.7300504732938393,0.9999999912645464
0.8,43,0.0808153072395531,0.5971086151376505,1.799951026446422,0.1842189846652985,-0.0817378219246156,0.3278575698375194,0.0019827668255777,0.0891054565177228,0.0084316369258996,0.1695084931641388,0.7943782228260696,0.9999840021657802
0.8,44,0.0716959199571488,0.508247744578376,1.4701566094833816,0.1541858310295535,-0.0852155506089998,0.3257948833601126,0.0019976780166189,0.0981316438865567,0.0113169159552063,0.2600271240599288,0.7347088604732998,0.9999975911004172
1.0,42,0.0792491032251566,0.58148671518311,1.7798383425430693,0.1795464150044197,-0.0668431356539239,0.3268706128819599,0.0026733807329176,0.0918227044749074,0.0227803605975526,0.4337611312739871,0.7634243607508051,0.999988129175566
1.0,43,0.0786020596970933,0.5782000017286074,1.3487447370665144,0.1315784113702358,-0.0813305679987567,0.3279528440879987,0.004261722785742,0.095443599089864,0.0112461417612403,0.216425616466654,0.8022369895889273,0.999996947333057
1.0,44,0.0729101485075646,0.5285056411517863,1.649156241156117,0.1778149064830805,-0.0699610444917122,0.3259558161007181,0.0017922671427385,0.0962461042508789,0.0154564790051392,0.3250617349621751,0.7149449500267583,0.9998455393400124
1.5,42,0.0775105969399211,0.5614366658089623,1.9631830258180976,0.193306741561765,-0.0557048626137902,0.3267152381228714,0.0019523206173251,0.0938068626078576,0.0199452024517637,0.3769897714354701,0.7530689642823464,0.9999999990325906
1.5,43,0.0780124514971656,0.5670883190648928,1.607320144115314,0.1633515179788468,-0.081338366733957,0.3254930096186227,0.003223025016371,0.0952431139618702,0.0146102808942698,0.283236247763393,0.8060081938115612,0.9999921234302196
1.5,44,0.0731780164830418,0.5334934086858079,1.7047929953138004,0.1727130031911749,-0.1050155791561782,0.3288593944365539,0.003513833025438,0.0993985642469811,0.0175661703552862,0.3924918923387013,0.7024251106457833,0.999819922608986
2.0,42,0.0802558355366608,0.6084343770483259,1.9151896473505847,0.1898754957348826,-0.0712175595335247,0.3257177451233674,0.0030071654637203,0.0923032597492504,0.0397734208540482,0.7390356998063247,0.7309723707866097,0.99999990162869
2.0,43,0.077157505968111,0.5788345834024268,1.3646587756763329,0.128812459732334,-0.0743277514449613,0.3271648705310347,0.0039780813639817,0.096427303276649,0.0252418710727884,0.4986043839646842,0.7980865719093367,0.9999989253171988
2.0,44,0.0693660535968041,0.4835179607083216,1.2999179206689393,0.1377421759978317,-0.071639225020474,0.327609475038329,0.0036796577891165,0.1011711115490019,0.0269567123567215,0.5526382900365849,0.7141611668430127,0.9999875527065576
