canonical_setting,n_runs,seeds,sources,d_model,n_heads,n_layers,d_ff,dropout,use_regime_time_embedding,use_regime_factor_gate,router_use_layer_summary,router_mode,main_loss,performance_daily_rank_ic_mean_mean,performance_daily_rank_ic_mean_std,performance_daily_rank_ic_mean_min,performance_daily_rank_ic_mean_max,performance_rank_icir_mean,performance_rank_icir_std,performance_rank_icir_min,performance_rank_icir_max,portfolio_annualized_return_with_cost_mean,portfolio_annualized_return_with_cost_std,portfolio_annualized_return_with_cost_min,portfolio_annualized_return_with_cost_max,portfolio_information_ratio_with_cost_mean,portfolio_information_ratio_with_cost_std,portfolio_information_ratio_with_cost_min,portfolio_information_ratio_with_cost_max,portfolio_max_drawdown_with_cost_mean,portfolio_max_drawdown_with_cost_std,portfolio_max_drawdown_with_cost_min,portfolio_max_drawdown_with_cost_max,optimization_post_peak_decay_mean,optimization_post_peak_decay_std,optimization_post_peak_decay_min,optimization_post_peak_decay_max,optimization_rank_ic_gap_last_mean,optimization_rank_ic_gap_last_std,optimization_rank_ic_gap_last_min,optimization_rank_ic_gap_last_max,router_time_ratio_mean_mean,router_time_ratio_mean_std,router_time_ratio_mean_min,router_time_ratio_mean_max,router_entropy_norm_mean_mean,router_entropy_norm_mean_std,router_entropy_norm_mean_min,router_entropy_norm_mean_max,optimization_train_grad_nonfinite_rate_last_mean,optimization_train_grad_nonfinite_rate_last_std,optimization_train_grad_nonfinite_rate_last_min,optimization_train_grad_nonfinite_rate_last_max,optimization_train_grad_skipped_rate_last_mean,optimization_train_grad_skipped_rate_last_std,optimization_train_grad_skipped_rate_last_min,optimization_train_grad_skipped_rate_last_max
base,2,"42,None","manifest,suite_csv_fill",,,,,,False,False,True,learned,,0.06956038807935862,0.0016759853940049863,0.06788440268535363,0.0712363734733636,0.5121618885980752,0.026911032657294637,0.4852508559407806,0.5390729212553699,0.12535334852055288,0.012846475338559392,0.1125068731819935,0.13819982385911228,1.193561334037767,0.17582113372263997,1.017740200315127,1.369382467760407,-0.08148183937731077,0.01830832811036185,-0.09979016748767262,-0.06317351126694892,0.0035070262532143834,0.00011373461542005942,0.003393291637794324,0.003620760868634443,0.10637678638931677,0.0,0.10637678638931677,0.10637678638931677,0.6919623630604845,0.0037742114028056495,0.6881881516576789,0.6957365744632902,0.8400815236046683,0.0,0.8400815236046683,0.8400815236046683,0.0003356831151393085,0.0,0.0003356831151393085,0.0003356831151393085,0.0003356831151393085,0.0,0.0003356831151393085,0.0003356831151393085
cap00_d64_h4_l2_ff128_do010,3,"42,43,44",manifest,64,4,2,128,0.1,True,True,True,learned,mse,0.07625916357311115,0.002985939301273157,0.07237689787356799,0.0796389624873134,0.5597860545750672,0.01815771547814436,0.5390860420358146,0.5832960782357897,0.18230816132056638,0.01645330322093459,0.15928349085164634,0.1967299969706057,1.7963475408850267,0.160673922465941,1.571942615269592,1.9394690279421478,-0.08675964765830775,0.01737603979527076,-0.11113703907870537,-0.07188818675100475,0.007050120961509083,0.002364470241741734,0.004940009592721589,0.010351652061884195,0.1220949690110396,0.0028508108086674026,0.1192156670997849,0.12597857143470106,0.6986500375889544,0.051221772507074104,0.627104554288191,0.7442430558441379,0.8506277961277516,0.05841147859136786,0.8005227611282686,0.9325570694036464,0.0004475774868524113,0.00015824253802988644,0.0003356831151393085,0.000671366230278617,0.0004475774868524113,0.00015824253802988644,0.0003356831151393085,0.000671366230278617
cap01_d64_h4_l2_ff256_do015,3,"42,43,44",manifest,64,4,2,256,0.15,True,True,True,learned,mse,0.07567685059383693,0.0017555742045832204,0.07406691170862302,0.0781186260026794,0.5372935319391309,0.009217736283256719,0.5282357054247737,0.5499413630680678,0.20189760495646014,0.03206851902921601,0.15785363438698605,0.23328342286717138,1.904754796244319,0.2623109695730755,1.6211861976060489,2.2536675690703483,-0.08077415926885996,0.012162506216438922,-0.09791805131904552,-0.07099595447133833,0.0032946148134266697,0.002440320262992632,0.0008695775946938877,0.00663366589251442,0.11226384467338524,0.005731234730887774,0.10682988671243017,0.12018895700178418,0.6882488587735501,0.008814374293570505,0.6770426955902049,0.6985801769616626,0.8759042173996704,0.010961273354100543,0.8646160564287481,0.8907492400507948,0.00022378874342620565,0.00015824253802988644,0.0,0.0003356831151393085,0.00022378874342620565,0.00015824253802988644,0.0,0.0003356831151393085
cap02_d80_h4_l2_ff320_do015,3,"42,43,44",manifest,80,4,2,320,0.15,True,True,True,learned,mse,0.07707667050071569,0.0015766563807584635,0.07514381148857541,0.07900580974698307,0.5416376202377737,0.01166848751845704,0.5259630028523012,0.5539426105235584,0.21324730086318486,0.013478386414514714,0.2007778358959388,0.2319674121188528,2.0292872101650477,0.1700823826839928,1.8707063552913705,2.2652017407911673,-0.06625107624213467,0.01051108841272901,-0.07731038270797891,-0.0521194886452912,0.0057198195515173285,0.002048073515750184,0.0038156018444304995,0.008562000859198074,0.12056896711479925,0.005891854359652994,0.1161694141324633,0.12889686500324365,0.6573339465956923,0.04139539522792088,0.6173053808467217,0.7143435475817159,0.8898722283620222,0.04138870855580032,0.8323769797900521,0.9281203835600664,0.00022378874342620565,0.00015824253802988644,0.0,0.0003356831151393085,0.00022378874342620565,0.00015824253802988644,0.0,0.0003356831151393085
cap03_d96_h4_l2_ff288_do015,1,42,manifest,96,4,2,288,0.15,True,True,True,learned,mse,0.07535067511486078,0.0,0.07535067511486078,0.07535067511486078,0.5103694274221902,0.0,0.5103694274221902,0.5103694274221902,0.1696329987746897,0.0,0.1696329987746897,0.1696329987746897,1.6120651057537745,0.0,1.6120651057537745,1.6120651057537745,-0.10263697133044505,0.0,-0.10263697133044505,-0.10263697133044505,0.0052118512622243846,0.0,0.0052118512622243846,0.0052118512622243846,0.12459592634802286,0.0,0.12459592634802286,0.12459592634802286,0.6137851050377413,0.0,0.6137851050377413,0.6137851050377413,0.9377760248086544,0.0,0.9377760248086544,0.9377760248086544,0.0003356831151393085,0.0,0.0003356831151393085,0.0003356831151393085,0.0003356831151393085,0.0,0.0003356831151393085,0.0003356831151393085
cap04_d96_h4_l2_ff288_do020,1,42,manifest,96,4,2,288,0.2,True,True,True,learned,mse,0.07452812100962426,0.0,0.07452812100962426,0.07452812100962426,0.4799630774457582,0.0,0.4799630774457582,0.4799630774457582,0.16728508860685465,0.0,0.16728508860685465,0.16728508860685465,1.4428284056802776,0.0,1.4428284056802776,1.4428284056802776,-0.08506855471698746,0.0,-0.08506855471698746,-0.08506855471698746,0.009005294077688575,0.0,0.009005294077688575,0.009005294077688575,0.1276062332992032,0.0,0.1276062332992032,0.1276062332992032,0.6389691909648523,0.0,0.6389691909648523,0.6389691909648523,0.9056579175577338,0.0,0.9056579175577338,0.9056579175577338,0.0003356831151393085,0.0,0.0003356831151393085,0.0003356831151393085,0.0003356831151393085,0.0,0.0003356831151393085,0.0003356831151393085
cap05_d96_h4_l2_ff384_do015,1,42,manifest,96,4,2,384,0.15,True,True,True,learned,mse,0.07728730575102148,0.0,0.07728730575102148,0.07728730575102148,0.54349500716962,0.0,0.54349500716962,0.54349500716962,0.18345836549176997,0.0,0.18345836549176997,0.18345836549176997,1.754429119796694,0.0,1.754429119796694,1.754429119796694,-0.07781892499898352,0.0,-0.07781892499898352,-0.07781892499898352,0.00505650620479399,0.0,0.00505650620479399,0.00505650620479399,0.12879776033856621,0.0,0.12879776033856621,0.12879776033856621,0.6327864537964867,0.0,0.6327864537964867,0.6327864537964867,0.9153385449862758,0.0,0.9153385449862758,0.9153385449862758,0.0003356831151393085,0.0,0.0003356831151393085,0.0003356831151393085,0.0003356831151393085,0.0,0.0003356831151393085,0.0003356831151393085
cap06_d96_h4_l2_ff384_do020,1,42,manifest,96,4,2,384,0.2,True,True,True,learned,mse,0.07937359407172331,0.0,0.07937359407172331,0.07937359407172331,0.5416028541522023,0.0,0.5416028541522023,0.5416028541522023,0.2202313447273886,0.0,0.2202313447273886,0.2202313447273886,2.086088748683269,0.0,2.086088748683269,2.086088748683269,-0.08060974912000239,0.0,-0.08060974912000239,-0.08060974912000239,0.004989735046453572,0.0,0.004989735046453572,0.004989735046453572,0.12001252488413269,0.0,0.12001252488413269,0.12001252488413269,0.7037789304309767,0.0,0.7037789304309767,0.7037789304309767,0.8359566755214279,0.0,0.8359566755214279,0.8359566755214279,0.0003356831151393085,0.0,0.0003356831151393085,0.0003356831151393085,0.0003356831151393085,0.0,0.0003356831151393085,0.0003356831151393085
cap07_d96_h6_l2_ff384_do015,1,42,manifest,96,6,2,384,0.15,True,True,True,learned,mse,0.07749194350080746,0.0,0.07749194350080746,0.07749194350080746,0.5304114108327845,0.0,0.5304114108327845,0.5304114108327845,0.16684033086338615,0.0,0.16684033086338615,0.16684033086338615,1.5848944202010637,0.0,1.5848944202010637,1.5848944202010637,-0.0866443641043598,0.0,-0.0866443641043598,-0.0866443641043598,0.005702634839108281,0.0,0.005702634839108281,0.005702634839108281,0.12767065727768523,0.0,0.12767065727768523,0.12767065727768523,0.6783282390371802,0.0,0.6783282390371802,0.6783282390371802,0.8788505432964313,0.0,0.8788505432964313,0.8788505432964313,0.0003356831151393085,0.0,0.0003356831151393085,0.0003356831151393085,0.0003356831151393085,0.0,0.0003356831151393085,0.0003356831151393085
cap09_d128_h8_l2_ff384_do020,1,42,manifest,128,8,2,384,0.2,True,True,True,learned,mse,0.07570250523851765,0.0,0.07570250523851765,0.07570250523851765,0.4942985973553227,0.0,0.4942985973553227,0.4942985973553227,0.21222303395051278,0.0,0.21222303395051278,0.21222303395051278,1.8683880508448147,0.0,1.8683880508448147,1.8683880508448147,-0.08778060224008205,0.0,-0.08778060224008205,-0.08778060224008205,0.01371052098123473,0.0,0.01371052098123473,0.01371052098123473,0.14290228131144794,0.0,0.14290228131144794,0.14290228131144794,0.5745346603143819,0.0,0.5745346603143819,0.5745346603143819,0.9475926176113992,0.0,0.9475926176113992,0.9475926176113992,0.0003356831151393085,0.0,0.0003356831151393085,0.0003356831151393085,0.0003356831151393085,0.0,0.0003356831151393085,0.0003356831151393085
