setting,returncode,selectable,selected_for_stage2,reasons,rankic,rankicir,post_peak_decay,drawdown,turnover,grad_nonfinite_rate,grad_skipped_rate
cap00_d64_h4_l2_ff128_do010,0,False,True,post_peak_decay > 0.010,0.07676163035845204,0.5569760434535975,0.010351652061884195,-0.07725371714521317,0.3258522180509293,0.0003356831151393085,0.0003356831151393085
cap01_d64_h4_l2_ff256_do015,0,True,True,,0.07484501407020838,0.5282357054247737,0.0008695775946938877,-0.07099595447133833,0.3275570985180413,0.0003356831151393085,0.0003356831151393085
cap02_d80_h4_l2_ff320_do015,0,True,True,,0.07514381148857541,0.5259630028523012,0.008562000859198074,-0.0521194886452912,0.32555145873984925,0.0003356831151393085,0.0003356831151393085
cap03_d96_h4_l2_ff288_do015,0,True,False,,0.07535067511486078,0.5103694274221902,0.0052118512622243846,-0.10263697133044505,0.3257017716333332,0.0003356831151393085,0.0003356831151393085
cap04_d96_h4_l2_ff288_do020,0,True,False,,0.07452812100962426,0.4799630774457582,0.009005294077688575,-0.08506855471698746,0.3268321296986509,0.0003356831151393085,0.0003356831151393085
cap05_d96_h4_l2_ff384_do015,0,True,False,,0.07728730575102148,0.54349500716962,0.00505650620479399,-0.07781892499898352,0.3263962041481793,0.0003356831151393085,0.0003356831151393085
cap06_d96_h4_l2_ff384_do020,0,True,False,,0.07937359407172331,0.5416028541522023,0.004989735046453572,-0.08060974912000239,0.3244564287274963,0.0003356831151393085,0.0003356831151393085
cap07_d96_h6_l2_ff384_do015,0,False,False,H=6 did not beat cap05 H=4 by >=0.005 RankIC without RankICIR drop,0.07749194350080746,0.5304114108327845,0.005702634839108281,-0.0866443641043598,0.3265088942066348,0.0003356831151393085,0.0003356831151393085
cap08_d96_h4_l3_ff384_do020,1,True,False,,,,,,,,
