setting,seeds,n_runs,avg_rankic,avg_rankicir,avg_grad_nonfinite_rate,avg_grad_skipped_rate,baseline_avg_rankic,rankic_minus_baseline,seeds_above_baseline_avg,pass_stage2_rules,selected_top2_after_stage1
cap02_d80_h4_l2_ff320_do015,"42,43,44",3,0.07707667050071569,0.5416376202377737,0.00022378874342620565,0.00022378874342620565,0.07625916357311115,0.0008175069276045444,2,False,True
cap00_d64_h4_l2_ff128_do010,"42,43,44",3,0.07625916357311115,0.5597860545750672,0.0004475774868524113,0.0004475774868524113,0.07625916357311115,0.0,,,False
cap01_d64_h4_l2_ff256_do015,"42,43,44",3,0.07567685059383693,0.5372935319391309,0.00022378874342620565,0.00022378874342620565,0.07625916357311115,-0.0005823129792742188,1,False,True
