setting,returncode,diagnostic_matrix,performance/daily_rank_ic_mean,performance/rank_icir,performance/daily_ic_mean,performance/icir,portfolio/annualized_return_with_cost,portfolio/information_ratio_with_cost,portfolio/max_drawdown_with_cost,portfolio/turnover,optimization/post_peak_decay,optimization/train_grad_norm_last,optimization/train_grad_nonfinite_rate_last,optimization/train_grad_skipped_rate_last,optimization/train_optimizer_steps_last,regime/pc1_tail_2x2_rank_ic_spread,router/time_ratio_mean,time_embedding/tau_range_utilization,factor_film/film_pool_top10_overlap,attention_pooling/factor_entropy_norm_mean
full_135,0,C:\Users\60585\PycharmProjects\qibMacV2\mlruns\325032212672679181\f58411c85d1845b2b7e249643b440486\diagnostic_matrix.csv,0.07346368406189176,0.5360507856832254,0.06498132251730539,0.461067523424272,0.11325407489112004,1.1040441034307875,-0.09411336699909754,0.32783414663051375,0.00334805282742337,5.475294767842896,0.0003356831151393085,0.0003356831151393085,2978.0,0.04235639227697853,0.7231553270721851,0.00031200563064729325,0.0751719845488372,0.9993705434043616
tau_scale_05,0,C:\Users\60585\PycharmProjects\qibMacV2\mlruns\867178867749867261\21a05e198fd34b43bd0d3a14f63e8e2b\diagnostic_matrix.csv,0.07234714072122798,0.5243172941797324,0.06497068705377927,0.46095868751864055,0.1774198631627256,1.7208186410225352,-0.08256582402356671,0.3266895215057256,0.0032056819943088732,5.471493699288592,0.0003356831151393085,0.0003356831151393085,2978.0,0.03768537908215218,0.7171319360727829,0.008976339089750039,0.07161772165724474,0.9992077975979595
tau_scale_08,0,C:\Users\60585\PycharmProjects\qibMacV2\mlruns\421120882648075751\58ee3fea18d64413b871e59e64d380fc\diagnostic_matrix.csv,0.07169591995714882,0.508247744578376,0.06435319126447601,0.4458368097427313,0.15418583102955358,1.4701566094833816,-0.08521555060899988,0.3257948833601126,0.001997678016618959,5.463520292397756,0.0003356831151393085,0.0003356831151393085,2978.0,0.046664224846857186,0.7347088604732998,0.01131691595520636,0.08920225855869093,0.9992396210119703
tau_scale_10,0,C:\Users\60585\PycharmProjects\qibMacV2\mlruns\206564195459620527\696e79740d9f4c67aaffbf6f27a0b9cd\diagnostic_matrix.csv,0.07291014850756469,0.5285056411517863,0.06590644966168975,0.46560653558607834,0.17781490648308051,1.649156241156117,-0.0699610444917122,0.3259558161007181,0.0017922671427385573,5.177161916545315,0.0003356831151393085,0.0003356831151393085,2978.0,0.042108673163396546,0.7149449500267583,0.015456479005139283,0.09824865427263162,0.9986003497836886
tau_scale_15,0,C:\Users\60585\PycharmProjects\qibMacV2\mlruns\690786402904200180\ae609d00fdbc4a5eadfeb98760616bec\diagnostic_matrix.csv,0.07317801648304184,0.5334934086858079,0.062104803398819144,0.4396573583120232,0.1727130031911749,1.7047929953138004,-0.1050155791561782,0.32885939443655393,0.0035138330254380623,5.356942086534227,0.0003356831151393085,0.0003356831151393085,2978.0,0.036741904867420495,0.7024251106457833,0.01756617035528626,0.06019262156868374,0.9993854543284524
tau_scale_20,0,C:\Users\60585\PycharmProjects\qibMacV2\mlruns\988852448800235861\8207a29f9e8c4257b33209c0c0635711\diagnostic_matrix.csv,0.06936605359680412,0.4835179607083216,0.0598932707003305,0.4093024397989624,0.13774217599783176,1.2999179206689393,-0.07163922502047405,0.327609475038329,0.003679657789116511,5.402998719796055,0.0003356831151393085,0.0003356831151393085,2978.0,0.04045432234160901,0.7141611668430127,0.02695671235672151,0.10376795218044148,0.9988888385236072
