setting,returncode,diagnostic_matrix,performance/daily_rank_ic_mean,performance/rank_icir,performance/daily_ic_mean,performance/icir,portfolio/annualized_return_with_cost,portfolio/information_ratio_with_cost,portfolio/max_drawdown_with_cost,portfolio/turnover,optimization/post_peak_decay,optimization/train_grad_norm_last,optimization/train_grad_nonfinite_rate_last,optimization/train_grad_skipped_rate_last,optimization/train_optimizer_steps_last,regime/pc1_tail_2x2_rank_ic_spread,router/time_ratio_mean,time_embedding/tau_range_utilization,factor_film/film_pool_top10_overlap,attention_pooling/factor_entropy_norm_mean
full_135,0,C:\Users\60585\PycharmProjects\qibMacV2\mlruns\325032212672679181\0cea102512eb4ead9165d4bef08ff534\diagnostic_matrix.csv,0.07710432823767467,0.5513286017123423,0.06856772541945735,0.4863191855598778,0.21018343195055295,1.9104635802046284,-0.06843314790476968,0.32688102225456606,0.0,4.090383874620602,0.000671366230278617,0.000671366230278617,2977.0,0.04645454554337422,0.6552555957467453,0.00038996609774502843,0.03359321734264096,0.9985798412707088
base,0,C:\Users\60585\PycharmProjects\qibMacV2\mlruns\662335838392804238\d2e63b7839864c208de48b564eecd195\diagnostic_matrix.csv,0.06788440268535363,0.4852508559407806,0.05832380299112025,0.3951809974839154,0.1125068731819935,1.017740200315127,-0.09979016748767262,0.3265718255733105,0.003393291637794324,3.67166601258117,0.0003356831151393085,0.0003356831151393085,2978.0,0.03314633775519503,0.6957365744632902,,,0.99951149603112
time_only,0,C:\Users\60585\PycharmProjects\qibMacV2\mlruns\857301447245886986\5e458ead56d843b6bac14e3489a4ca5c\diagnostic_matrix.csv,0.07175480564496155,0.5260382010456862,0.062345508764057755,0.43377873522572885,0.15973566927086436,1.4245924606363245,-0.12329707397475484,0.3247824806381914,0.002357857144360695,8.46601767388581,0.000671366230278617,0.000671366230278617,2977.0,0.02425325909353978,0.535103035202068,0.0004677820687342172,,0.955204642571106
film_only,0,C:\Users\60585\PycharmProjects\qibMacV2\mlruns\205607788562772697\c33a8a47f7f14319a7f55fa848c50cd1\diagnostic_matrix.csv,0.07192317763806869,0.5335026155951409,0.062354770918580306,0.4379224026743531,0.1610171471417081,1.4451240101619043,-0.06876764952940109,0.32589948794586576,0.0,3.735712615186212,0.0003356831151393085,0.0003356831151393085,2978.0,0.03631247493742254,0.7333917712488918,,0.05700276492714409,0.9999686165670948
no_layer_summary,0,C:\Users\60585\PycharmProjects\qibMacV2\mlruns\590194973191721631\3049d3c013b54591a76de366e0366d83\diagnostic_matrix.csv,0.06317243664669321,0.4746565924091005,0.0604645637482205,0.4513816302398833,0.1236344432636533,1.1108231908144603,-0.12096647411008665,0.3236436078289021,0.00636589654735123,7.752973334392568,0.000671366230278617,0.000671366230278617,2977.0,0.01875585485850486,0.6454863353173589,0.00031198636449948706,0.03820072549075908,0.999982167899569
fixed_router_05,0,C:\Users\60585\PycharmProjects\qibMacV2\mlruns\868729932898585167\df53e63552ad4502a5b42c92d00d6733\diagnostic_matrix.csv,0.07113857710740026,0.52342630922699,0.0651630654086843,0.47407226957748044,0.15498507408021225,1.4930583758400318,-0.09389516656369923,0.3259841071421199,0.005216097860735305,6.926726722739538,0.000671366230278617,0.000671366230278617,2977.0,0.033096454478306045,0.5,0.00046795546406447287,0.039554616459958655,0.9999838596067064
