setting,returncode,diagnostic_matrix,performance/daily_rank_ic_mean,performance/rank_icir,performance/daily_ic_mean,performance/icir,portfolio/annualized_return_with_cost,portfolio/information_ratio_with_cost,portfolio/max_drawdown_with_cost,portfolio/turnover,optimization/post_peak_decay,optimization/train_grad_norm_last,optimization/train_grad_nonfinite_rate_last,optimization/train_grad_skipped_rate_last,optimization/train_optimizer_steps_last,regime/pc1_tail_2x2_rank_ic_spread,router/time_ratio_mean,time_embedding/tau_range_utilization,factor_film/film_pool_top10_overlap,attention_pooling/factor_entropy_norm_mean
full_135,0,C:\Users\60585\PycharmProjects\qibMacV2\mlruns\325032212672679181\77e0c2a3d77b4076aa90e5dbc8b9d1e2\diagnostic_matrix.csv,0.07793646758297612,0.5762482386935072,0.06790845523084627,0.48699202492212273,0.14576413666279192,1.3763591601474203,-0.10360878416757158,0.32790835315319344,0.003639879190547479,5.912503107082536,0.0003356831151393085,0.0003356831151393085,2978.0,0.04006608680635328,0.8016456910345116,0.00015599799878669506,0.025511393290195736,0.9980324507156764
tau_scale_05,0,C:\Users\60585\PycharmProjects\qibMacV2\mlruns\867178867749867261\659cb7dccb784796b674257e4d13baf8\diagnostic_matrix.csv,0.07881082064968697,0.5871777320264925,0.06800521864608464,0.4926302270663901,0.17858117376209762,1.7738018994155857,-0.0805961407988024,0.32778481425081885,0.004125609457714979,6.1863073990724144,0.0003356831151393085,0.0003356831151393085,2978.0,0.04272492395892252,0.8046045040082749,0.015491899817880957,0.025877488561106242,0.9979026979209916
tau_scale_08,0,C:\Users\60585\PycharmProjects\qibMacV2\mlruns\421120882648075751\58c2a864b87b4eddadc12f5a8177c016\diagnostic_matrix.csv,0.08081530723955313,0.5971086151376505,0.06933545633602953,0.5007165759127972,0.1842189846652985,1.799951026446422,-0.08173782192461565,0.3278575698375194,0.001982766825577728,5.718344067559144,0.0003356831151393085,0.0003356831151393085,2978.0,0.040431510920047584,0.7943782228260696,0.008431636925899622,0.024240827349976946,0.9988885734690724
tau_scale_10,0,C:\Users\60585\PycharmProjects\qibMacV2\mlruns\206564195459620527\4f9bdca2f1184bc89234fb2a137c3b4f\diagnostic_matrix.csv,0.07860205969709333,0.5782000017286074,0.0659773815341258,0.47135415594442276,0.13157841137023582,1.3487447370665144,-0.08133056799875679,0.3279528440879987,0.004261722785742064,5.779754553574472,0.0003356831151393085,0.0003356831151393085,2978.0,0.03665383939629119,0.8022369895889273,0.011246141761240332,0.01618644988646965,0.997657044906564
tau_scale_15,0,C:\Users\60585\PycharmProjects\qibMacV2\mlruns\690786402904200180\f937ac6fb9354248afd9df94e7a13ad8\diagnostic_matrix.csv,0.07801245149716567,0.5670883190648928,0.0643032737002556,0.4530510005284779,0.16335151797884684,1.607320144115314,-0.081338366733957,0.32549300961862276,0.0032230250163710894,6.172127877634458,0.0003356831151393085,0.0003356831151393085,2978.0,0.03574239113003934,0.8060081938115612,0.014610280894269847,0.020388170773520883,0.9985058621217686
tau_scale_20,0,C:\Users\60585\PycharmProjects\qibMacV2\mlruns\988852448800235861\a6066ed896e64093aa7fa32a1c916d7c\diagnostic_matrix.csv,0.07715750596811109,0.5788345834024268,0.06440153696387192,0.47360244179178157,0.12881245973233404,1.3646587756763329,-0.07432775144496133,0.32716487053103477,0.00397808136398177,5.895679850690247,0.0003356831151393085,0.0003356831151393085,2978.0,0.036271377690388504,0.7980865719093367,0.02524187107278843,0.02481790947636412,0.9988259022026138
