setting,seed,returncode,d_model,n_heads,d_head,n_layers,d_ff,dropout,params_plan,epochs_recorded,best_valid_rank_ic,best_valid_rank_ic_epoch,final_valid_rank_ic,best_minus_final_valid_rank_ic,checkpoint_metric,checkpoint_epoch,checkpoint_score,checkpoint_restored,performance/daily_rank_ic_mean,performance/rank_icir,performance/daily_ic_mean,performance/icir,performance/rolling20_rank_ic_min,performance/rolling60_rank_ic_min,performance/top_bottom_spread_mean,portfolio/annualized_return_with_cost,portfolio/information_ratio_with_cost,portfolio/max_drawdown_with_cost,portfolio/turnover,portfolio/cost_drag,optimization/post_peak_decay,optimization/loss_gap_last,optimization/rank_ic_gap_last,optimization/train_grad_norm_last,optimization/train_grad_nonfinite_rate_last,optimization/train_grad_skipped_rate_last,optimization/train_score_std_last,optimization/valid_score_std_last,attention_pooling/factor_entropy_norm_mean,attention_pooling/factor_top10_mass_mean,router/entropy_norm_mean,router/time_ratio_mean,router/collapse_ratio,regime/pc1_tail_2x2_rank_ic_spread,diagnostic_matrix
full_135,42,0,,,,,,,,40,0.07913594334986097,17,0.07007508365532826,0.009060859694532714,valid_rank_ic,17,0.07913594334986097,True,0.07913506646550444,0.5496115387284783,0.07051988516857385,0.4836667844057335,-0.01355395247614645,0.03331152874863933,0.01118243661950725,0.17787491766501612,1.564012034553269,-0.09847608697301419,0.32651886274641506,0.15530993200071974,0.009060859694532714,-1.2444016674350442,0.1208131819940776,7.95184714109827,0.0003356831151393085,0.0003356831151393085,0.23040787875152105,0.26454604628043166,0.9994577783402324,0.07316709921341655,0.8970167185085561,0.6708117364445346,0.0,0.04775891412543733,C:\Users\60585\PycharmProjects\qibMacV2\mlruns\325032212672679181\ae50cd15f54f49589865170d35f2014d\diagnostic_matrix.csv
base,42,0,,,,,,,,40,0.0712402230806313,15,0.06761946221199686,0.003620760868634443,valid_rank_ic,15,0.0712402230806313,True,0.0712363734733636,0.5390729212553699,0.06319144598961643,0.46027634270195494,-0.04110654829289762,0.004305308000571449,0.009620381124796264,0.13819982385911228,1.369382467760407,-0.06317351126694892,0.3263388916991365,0.15522495906479444,0.003620760868634443,-1.285646531636688,0.10637678638931677,5.043574006013082,0.0003356831151393085,0.0003356831151393085,0.20475623062610146,0.2077822521353314,0.9996792216887642,0.07291897336023972,0.8400815236046683,0.6881881516576789,0.0,0.02131841628976333,C:\Users\60585\PycharmProjects\qibMacV2\mlruns\662335838392804238\13c7b183255b4d00905b27b61ef4b5d8\diagnostic_matrix.csv
time_only,42,0,,,,,,,,40,0.07196782919851456,17,0.06599785755709782,0.005969971641416744,valid_rank_ic,17,0.07196782919851456,True,0.07197022857139895,0.548346806296843,0.06410698044886123,0.48422121910764804,-0.02568689670865456,0.029371135399703804,0.010002035648964418,0.16087228342945784,1.575365601003654,-0.08591055525598756,0.3261009802007368,0.15511094624133223,0.005969971641416744,-1.2847989224003835,0.09978376568303514,8.556060363819388,0.000671366230278617,0.000671366230278617,0.19165795087094034,0.22647739042041734,0.9792389957811706,0.16837621193382002,0.8975934355175086,0.542890707599746,0.0,0.028143829014847778,C:\Users\60585\PycharmProjects\qibMacV2\mlruns\857301447245886986\2959bb74fa5a4377a12df9d64cabbb60\diagnostic_matrix.csv
film_only,42,0,,,,,,,,40,0.0767872855431077,17,0.057560462847396604,0.01922682269571109,valid_rank_ic,17,0.0767872855431077,True,0.07678603656652373,0.5844371736808308,0.06415816962817701,0.4664415210211175,-0.013555969518572191,0.024999341458214853,0.010087269496282414,0.17978762461217418,1.5752258414392195,-0.07484343672085791,0.32623358491936216,0.1551742818397725,0.01922682269571109,-1.2356107383209238,0.14325004073849346,6.816174557260988,0.0003356831151393085,0.0003356831151393085,0.24200638191297416,0.2539577952383388,0.9999437533054996,0.066358312260015,0.807584101298859,0.7349453340770765,0.0,0.043656057060164635,C:\Users\60585\PycharmProjects\qibMacV2\mlruns\205607788562772697\813f51a773304377b3344a8ba389e9d3\diagnostic_matrix.csv
no_layer_summary,42,0,,,,,,,,40,0.06907886055539827,17,0.06405176286708716,0.005027097688311111,valid_rank_ic,17,0.06907886055539827,True,0.06907886055539827,0.514995064872803,0.06413817420894148,0.47664048767416917,-0.020196166743551867,0.022762587866751782,0.010286423776572367,0.19304672562095002,1.8431914681712018,-0.07280791062389333,0.3251906411570457,0.15467662941358237,0.005027097688311111,-1.2746874185456682,0.11298539066627955,9.876568469949412,0.0003356831151393085,0.0003356831151393085,0.20440255863308787,0.23054616775138093,0.9999175930450689,0.06662393818634862,0.8938872447871897,0.6478259435925273,0.0,0.02160090244147815,C:\Users\60585\PycharmProjects\qibMacV2\mlruns\590194973191721631\023b168ef8f44fbea8ea7760fd79f118\diagnostic_matrix.csv
fixed_router_05,42,0,,,,,,,,40,0.07707132106127333,17,0.06974822454236485,0.007323096518908487,valid_rank_ic,17,0.07707132106127333,True,0.07707132031873405,0.5760899141994799,0.06754494267592283,0.5006037883323867,-0.03676845490469445,0.02377107270226763,0.0110194490454274,0.1549206254377406,1.5348429773576733,-0.0835654354649816,0.3246399455264698,0.15441386772530413,0.007323096518908487,-1.2792117642753744,0.11075105661540022,9.088051384024167,0.000671366230278617,0.000671366230278617,0.21024810391490434,0.21497421139781098,0.9998742396086782,0.0689558937064017,1.0000000027478353,0.5,0.0,0.029066113064842178,C:\Users\60585\PycharmProjects\qibMacV2\mlruns\868729932898585167\d0c107064f1b4768b07572a485096d3a\diagnostic_matrix.csv
