setting,returncode,diagnostic_matrix,performance/daily_rank_ic_mean,performance/rank_icir,performance/daily_ic_mean,performance/icir,portfolio/annualized_return_with_cost,portfolio/information_ratio_with_cost,portfolio/max_drawdown_with_cost,portfolio/turnover,optimization/post_peak_decay,optimization/train_grad_norm_last,optimization/train_grad_nonfinite_rate_last,optimization/train_grad_skipped_rate_last,optimization/train_optimizer_steps_last,regime/pc1_tail_2x2_rank_ic_spread,router/time_ratio_mean,time_embedding/tau_range_utilization,factor_film/film_pool_top10_overlap,attention_pooling/factor_entropy_norm_mean
tau_scale_01,0,C:\Users\60585\PycharmProjects\qibMacV2\mlruns\861276369704274301\0d7c9875800d4d19b0fa1936609d0387\diagnostic_matrix.csv,0.08201935816500829,0.5839040209966605,0.07027021910872432,0.4869200815804591,0.18395758043307942,1.733792687596739,-0.060175433569627845,0.3272657806711014,0.009305251612298102,8.735347471414611,0.0003356831151393085,0.0003356831151393085,2978.0,0.04977568540308196,0.7476233502027445,0.005388770440612176,0.0325709374685068,0.9960495289625129
tau_scale_10,0,C:\Users\60585\PycharmProjects\qibMacV2\mlruns\206564195459620527\f170c5e87cb24e07988fd56904cba2f9\diagnostic_matrix.csv,0.08051044556189502,0.5777895220844497,0.06867337855884562,0.4762924065838843,0.1862256626403307,1.8131599563227214,-0.061710600229213486,0.3292717298723392,0.00913654268903398,8.648711325390952,0.0003356831151393085,0.0003356831151393085,2978.0,0.04458523839861009,0.7521823586288594,0.030920731900918364,0.046302817793496924,0.9992236564300805
tau_scale_20,0,C:\Users\60585\PycharmProjects\qibMacV2\mlruns\988852448800235861\2bdf1d94165743dc90da9fe2e2aa2bcd\diagnostic_matrix.csv,0.08022907581620788,0.5752516093439577,0.06987675912910352,0.4919293355302954,0.18903181470323618,1.8035587307060217,-0.0949256748362472,0.32796615325503436,0.007613624399228608,8.163846574618022,0.0003356831151393085,0.0003356831151393085,2978.0,0.05128773052357785,0.7323023028251452,0.05955055024888781,0.03558020963000872,0.9999590320974094
tau_scale_50,0,C:\Users\60585\PycharmProjects\qibMacV2\mlruns\329550521121782932\d96fd2289b7b414bb4a16d0f0ea935d6\diagnostic_matrix.csv,0.08227160468174499,0.5943023503562194,0.06676290114651236,0.4674832253985571,0.1722168607951209,1.6816888475914966,-0.07755130005312535,0.3272671267849026,0.012443423659999259,8.304090363247937,0.0003356831151393085,0.0003356831151393085,2978.0,0.040481727057259054,0.7420799081389265,0.11052612824873491,0.04109936678608044,0.9999802087628216
