setting,returncode,diagnostic_matrix,performance/daily_rank_ic_mean,performance/rank_icir,performance/daily_ic_mean,performance/icir,portfolio/annualized_return_with_cost,portfolio/information_ratio_with_cost,portfolio/max_drawdown_with_cost,portfolio/turnover,optimization/post_peak_decay,optimization/train_grad_norm_last,optimization/train_grad_nonfinite_rate_last,optimization/train_grad_skipped_rate_last,optimization/train_optimizer_steps_last,regime/pc1_tail_2x2_rank_ic_spread,router/time_ratio_mean,time_embedding/tau_range_utilization,factor_film/film_pool_top10_overlap,attention_pooling/factor_entropy_norm_mean
full_135,0,C:\Users\60585\PycharmProjects\qibMacV2\mlruns\325032212672679181\26e088e3282a4170a59a53f0fa8c8319\diagnostic_matrix.csv,0.08021350330711123,0.5953152891575569,0.06574398967238705,0.4641076238465031,0.17789941927368919,1.8242361843702386,-0.058741904124344296,0.32666502665973146,0.0031979505137927078,6.551586132749699,0.0003356831151393085,0.0003356831151393085,2978.0,0.03881544713019895,0.7372165906773976,7.800863246725063e-05,0.03517780041065727,0.9981271569487921
tau_scale_05,0,C:\Users\60585\PycharmProjects\qibMacV2\mlruns\867178867749867261\917808d52d9a4a13b36c6e20a4155d55\diagnostic_matrix.csv,0.08106502378295403,0.6091870389205332,0.0670117786078965,0.485497990606742,0.22795120452094184,2.2462499966987135,-0.060028636231084065,0.32711397842683493,0.004752354027003455,6.99886837647354,0.0003356831151393085,0.0003356831151393085,2978.0,0.04487869783337324,0.753756690350505,0.011495359016187263,0.07811637015905509,0.9998748152966441
tau_scale_08,0,C:\Users\60585\PycharmProjects\qibMacV2\mlruns\421120882648075751\25f83a16aaf947afb7059fb0df7443bf\diagnostic_matrix.csv,0.07981417208078188,0.5953495127357474,0.06614833841585195,0.4809104724705171,0.17654367128864185,1.7707827858144969,-0.05577311044809363,0.325809100261233,0.004142189422575021,6.584502013216726,0.0003356831151393085,0.0003356831151393085,2978.0,0.039762544327018756,0.7300504732938393,0.011564360724555122,0.05509684564094681,0.995822578524058
tau_scale_10,0,C:\Users\60585\PycharmProjects\qibMacV2\mlruns\206564195459620527\8a0c7fdb227543d385ed0a259c3c76cf\diagnostic_matrix.csv,0.07924910322515662,0.58148671518311,0.06753165944682332,0.4775644105218234,0.17954641500441978,1.7798383425430693,-0.06684313565392391,0.32687061288195995,0.0026733807329176323,6.77894527108658,0.0003356831151393085,0.0003356831151393085,2978.0,0.04646747716145505,0.7634243607508051,0.022780360597552674,0.06965113837190776,0.999821462310138
tau_scale_15,0,C:\Users\60585\PycharmProjects\qibMacV2\mlruns\690786402904200180\a3a8493661a341be81fc2f4998ce3c72\diagnostic_matrix.csv,0.0775105969399211,0.5614366658089623,0.06541686525929082,0.4575638536742143,0.19330674156176506,1.9631830258180978,-0.05570486261379021,0.32671523812287145,0.001952320617325129,6.761714985304131,0.0003356831151393085,0.0003356831151393085,2978.0,0.050053168091390335,0.7530689642823464,0.019945202451763733,0.04290619684862488,0.9993072794845135
tau_scale_20,0,C:\Users\60585\PycharmProjects\qibMacV2\mlruns\988852448800235861\9c6f1f8bdba74bfea35a3e138a3b20aa\diagnostic_matrix.csv,0.08025583553666085,0.6084343770483259,0.06607485571008204,0.4855458639061624,0.1898754957348826,1.9151896473505847,-0.07121755953352471,0.32571774512336743,0.003007165463720346,6.957731759978722,0.0003356831151393085,0.0003356831151393085,2978.0,0.040515394394781315,0.7309723707866097,0.039773420854048294,0.021340778537274157,0.9997212673772411
